Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-18 02:13:45,Ours,0.00208,1.4679744230299303,10.77,10.77,1,114.3923,1:54.39,111.2526,0.2292,2.9031,114.3926,1:54.39,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[2];5:[1,2];0:[2];7:[2];2:[2];9:[1,2];4:[1,2];3:[1,2];6:[1,2]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[2]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[1,2]","14.8227,39.9095,12.3596,13.6704,7.9199,0.5377,10.6551,6.1058,1.2644,4.0076"
32,2026-09-18 03:25:10,Ours,0.01,0.8342600952256319,70.72,71.45,31,136.708,2:16.71,133.3886,0.0834,3.2273,4399.3702,1:13:19.37,10,"8,5,4,7,0,1,3,6,2,9",8:12;5:20;4:27;7:26;0:25;1:12;3:16;6:15;2:30;9:17,"8:[0];5:[0,2];4:[0,2];7:[0,2];0:[0,2];1:[0];3:[0];6:[0];2:[0,1,2];9:[0]","c8:bw=12,experts=[0]; c5:bw=20,experts=[0,2]; c4:bw=27,experts=[0,2]; c7:bw=26,experts=[0,2]; c0:bw=25,experts=[0,2]; c1:bw=12,experts=[0]; c3:bw=16,experts=[0]; c6:bw=15,experts=[0]; c2:bw=30,experts=[0,1,2]; c9:bw=17,experts=[0]","17.5389,15.3260,7.5025,9.1202,16.0763,48.3386,1.5255,4.9962,0.6788,12.2856"
33,2026-09-18 03:27:23,Ours,0.01,0.8323334315028132,70.24,71.45,31,132.7069,2:12.71,129.0953,0.0886,3.5132,4532.116,1:15:32.12,10,"7,1,3,6,5,9,2,8,4,0",7:29;1:19;3:39;6:20;5:16;9:23;2:13;8:28;4:25;0:35,"7:[0,2];1:[0];3:[0,1,2];6:[0,2];5:[0];9:[0,2];2:[0];8:[0,2];4:[0,2];0:[0,1,2]","c7:bw=29,experts=[0,2]; c1:bw=19,experts=[0]; c3:bw=39,experts=[0,1,2]; c6:bw=20,experts=[0,2]; c5:bw=16,experts=[0]; c9:bw=23,experts=[0,2]; c2:bw=13,experts=[0]; c8:bw=28,experts=[0,2]; c4:bw=25,experts=[0,2]; c0:bw=35,experts=[0,1,2]","8.6059,45.7905,1.2980,4.7335,15.3735,12.6472,0.6762,17.3068,7.1919,15.4717"
34,2026-09-18 03:29:35,Ours,0.01,0.8334846758752936,72.47,72.47,34,132.382,2:12.38,128.7302,0.0926,3.5531,4664.5336,1:17:44.53,10,"4,1,6,9,8,0,5,7,3,2",4:26;1:26;6:27;9:38;8:23;0:12;5:33;7:18;3:40;2:30,"4:[0,2];1:[0,2];6:[0,2];9:[0,2,3];8:[0,2];0:[0];5:[0,1,2];7:[0];3:[0,1,2,3];2:[0,1,2]","c4:bw=26,experts=[0,2]; c1:bw=26,experts=[0,2]; c6:bw=27,experts=[0,2]; c9:bw=38,experts=[0,2,3]; c8:bw=23,experts=[0,2]; c0:bw=12,experts=[0]; c5:bw=33,experts=[0,1,2]; c7:bw=18,experts=[0]; c3:bw=40,experts=[0,1,2,3]; c2:bw=30,experts=[0,1,2]","7.0976,47.3719,4.3496,12.4784,16.6094,15.5226,14.5951,8.6682,1.4062,0.6312"
35,2026-09-18 03:31:47,Ours,0.01,0.8283125368524052,72.3,72.47,34,131.7497,2:11.75,128.1894,0.0856,3.4674,4796.3184,1:19:56.32,10,"4,0,1,6,2,8,9,7,5,3",4:18;0:11;1:17;6:24;2:25;8:28;9:15;7:27;5:23;3:13,"4:[0];0:[0];1:[0];6:[0,2];2:[0,2];8:[0,2];9:[0];7:[0,2];5:[0,2];3:[0]","c4:bw=18,experts=[0]; c0:bw=11,experts=[0]; c1:bw=17,experts=[0]; c6:bw=24,experts=[0,2]; c2:bw=25,experts=[0,2]; c8:bw=28,experts=[0,2]; c9:bw=15,experts=[0]; c7:bw=27,experts=[0,2]; c5:bw=23,experts=[0,2]; c3:bw=13,experts=[0]","7.2712,15.3736,46.7088,4.5286,0.5833,16.5044,11.8665,9.0215,14.9218,1.4096"
36,2026-09-18 03:34:00,Ours,0.01,0.8173932188560871,72.4,72.47,34,132.8365,2:12.84,129.1247,0.0871,3.6122,4929.1936,1:22:09.19,10,"9,0,3,7,6,5,1,4,8,2",9:21;0:20;3:33;7:15;6:24;5:27;1:10;4:40;8:28;2:28,"9:[0,2];0:[0,2];3:[0,1,2];7:[0];6:[0,2];5:[0,2];1:[0];4:[0,1,2,3];8:[0,2];2:[0,2]","c9:bw=21,experts=[0,2]; c0:bw=20,experts=[0,2]; c3:bw=33,experts=[0,1,2]; c7:bw=15,experts=[0]; c6:bw=24,experts=[0,2]; c5:bw=27,experts=[0,2]; c1:bw=10,experts=[0]; c4:bw=40,experts=[0,1,2,3]; c8:bw=28,experts=[0,2]; c2:bw=28,experts=[0,2]","12.3524,15.8236,1.3773,8.7149,4.4238,14.6410,47.1234,7.4692,16.5924,0.6068"
37,2026-09-18 03:36:13,Ours,0.01,0.8144990941189922,73.44,73.44,37,132.6216,2:12.62,128.9476,0.0948,3.5705,5061.8555,1:24:21.86,10,"1,5,2,6,4,7,9,0,3,8",1:10;5:22;2:20;6:36;4:22;7:23;9:22;0:30;3:20;8:10,"1:[0];5:[0,2];2:[0,2];6:[0,1,2];4:[0,2];7:[0,2];9:[0,2];0:[0,1,2];3:[0,2];8:[0]","c1:bw=10,experts=[0]; c5:bw=22,experts=[0,2]; c2:bw=20,experts=[0,2]; c6:bw=36,experts=[0,1,2]; c4:bw=22,experts=[0,2]; c7:bw=23,experts=[0,2]; c9:bw=22,experts=[0,2]; c0:bw=30,experts=[0,1,2]; c3:bw=20,experts=[0,2]; c8:bw=10,experts=[0]","46.2315,14.9540,0.6218,4.5498,7.4577,8.8000,12.0382,16.1750,1.3679,16.7517"
38,2026-09-18 03:38:25,Ours,0.01,0.8196363769280287,72.96,73.44,37,132.6447,2:12.64,128.7541,0.0905,3.7896,5194.5517,1:26:34.55,10,"8,6,4,1,5,2,3,7,9,0",8:25;6:10;4:29;1:17;5:10;2:10;3:21;7:28;9:14;0:22,"8:[0,2];6:[0];4:[0,2];1:[0];5:[0];2:[0];3:[0,2];7:[0,2];9:[0];0:[0,2]","c8:bw=25,experts=[0,2]; c6:bw=10,experts=[0]; c4:bw=29,experts=[0,2]; c1:bw=17,experts=[0]; c5:bw=10,experts=[0]; c2:bw=10,experts=[0]; c3:bw=21,experts=[0,2]; c7:bw=28,experts=[0,2]; c9:bw=14,experts=[0]; c0:bw=22,experts=[0,2]","17.0089,4.8137,7.5290,48.4291,14.2121,0.6161,1.3024,8.1353,10.9175,15.7900"
39,2026-09-18 03:40:37,Ours,0.01,0.8102961836372173,73.07,73.44,37,131.3618,2:11.36,127.757,0.0856,3.5057,5325.9757,1:28:45.98,10,"3,0,1,7,6,8,2,4,9,5",3:14;0:10;1:25;7:22;6:17;8:25;2:20;4:20;9:13;5:40,"3:[0];0:[0];1:[0,2];7:[0,2];6:[0];8:[0,2];2:[0,2];4:[0,2];9:[0];5:[0,1,2,3]","c3:bw=14,experts=[0]; c0:bw=10,experts=[0]; c1:bw=25,experts=[0,2]; c7:bw=22,experts=[0,2]; c6:bw=17,experts=[0]; c8:bw=25,experts=[0,2]; c2:bw=20,experts=[0,2]; c4:bw=20,experts=[0,2]; c9:bw=13,experts=[0]; c5:bw=40,experts=[0,1,2,3]","1.4126,15.0517,45.8694,8.3159,4.9437,17.3045,0.5834,7.2535,12.4643,14.5579"
40,2026-09-18 03:42:40,Ours,0.01,0.8050364716747458,72.91,73.44,37,123.5004,2:03.50,119.9764,0.1046,3.4069,5449.5319,1:30:49.53,10,"8,1,5,6,2,7,3,4,9,0",8:14;1:23;5:18;6:26;2:36;7:37;3:10;4:11;9:22;0:20,"8:[0];1:[0,2];5:[0];6:[0,2];2:[0,1,2];7:[0,1,2];3:[0];4:[0];9:[0,2];0:[0,2]","c8:bw=14,experts=[0]; c1:bw=23,experts=[0,2]; c5:bw=18,experts=[0]; c6:bw=26,experts=[0,2]; c2:bw=36,experts=[0,1,2]; c7:bw=37,experts=[0,1,2]; c3:bw=10,experts=[0]; c4:bw=11,experts=[0]; c9:bw=22,experts=[0,2]; c0:bw=20,experts=[0,2]","15.3229,43.4934,13.8965,4.2493,0.6084,8.8225,1.2228,6.5066,10.8433,15.0106"
41,2026-09-18 03:44:45,Ours,0.01,0.8029133355476542,72.61,73.44,37,124.9064,2:04.91,121.1914,0.0911,3.6157,5574.4795,1:32:54.48,10,"2,6,8,1,4,5,7,3,9,0",2:30;6:10;8:31;1:10;4:28;5:34;7:38;3:22;9:30;0:10,"2:[0,1,2];6:[0];8:[0,1,2];1:[0];4:[0,2];5:[0,2,3];7:[0,1,2];3:[0,2];9:[0,2,3];0:[0]","c2:bw=30,experts=[0,1,2]; c6:bw=10,experts=[0]; c8:bw=31,experts=[0,1,2]; c1:bw=10,experts=[0]; c4:bw=28,experts=[0,2]; c5:bw=34,experts=[0,2,3]; c7:bw=38,experts=[0,1,2]; c3:bw=22,experts=[0,2]; c9:bw=30,experts=[0,2,3]; c0:bw=10,experts=[0]","0.5679,4.2157,15.3357,43.8957,6.7545,13.5277,9.0688,1.2369,11.9301,14.6584"
42,2026-09-18 03:46:50,Ours,0.01,0.8053588579760209,74.69,74.69,42,124.7643,2:04.76,121.4611,0.0821,3.2145,5699.4641,1:34:59.46,10,"5,1,3,9,6,0,7,4,8,2",5:28;1:27;3:27;9:28;6:19;0:10;7:11;4:30;8:23;2:22,"5:[0,2];1:[0,2];3:[0,2];9:[0,2];6:[0];0:[0];7:[0];4:[0,1,2];8:[0,2];2:[0,2]","c5:bw=28,experts=[0,2]; c1:bw=27,experts=[0,2]; c3:bw=27,experts=[0,2]; c9:bw=28,experts=[0,2]; c6:bw=19,experts=[0]; c0:bw=10,experts=[0]; c7:bw=11,experts=[0]; c4:bw=30,experts=[0,1,2]; c8:bw=23,experts=[0,2]; c2:bw=22,experts=[0,2]","14.0743,43.8096,1.2966,11.3078,4.1606,14.9522,8.6360,7.3415,15.2725,0.6099"
43,2026-09-18 03:48:52,Ours,0.01,0.7934502423763773,74.44,74.69,42,121.5575,2:01.56,117.8668,0.0807,3.6027,5821.0594,1:37:01.06,10,"5,1,2,8,9,7,4,6,3,0",5:29;1:32;2:28;8:25;9:18;7:12;4:19;6:10;3:36;0:12,"5:[0,2];1:[0,2,3];2:[0,2];8:[0,2];9:[0];7:[0];4:[0];6:[0];3:[0,1,2];0:[0]","c5:bw=29,experts=[0,2]; c1:bw=32,experts=[0,2,3]; c2:bw=28,experts=[0,2]; c8:bw=25,experts=[0,2]; c9:bw=18,experts=[0]; c7:bw=12,experts=[0]; c4:bw=19,experts=[0]; c6:bw=10,experts=[0]; c3:bw=36,experts=[0,1,2]; c0:bw=12,experts=[0]","13.9055,42.7695,0.5737,14.8445,10.9649,8.2107,6.6175,3.9834,1.1891,14.8080"
44,2026-09-18 03:50:57,Ours,0.01,0.7960907759019062,74.28,74.69,42,124.6732,2:04.67,121.3053,0.086,3.2706,5945.782,1:39:05.78,10,"0,3,4,2,7,5,6,9,8,1",0:37;3:26;4:16;2:20;7:40;5:13;6:11;9:21;8:19;1:25,"0:[0,1,2];3:[0,2];4:[0];2:[0,2];7:[0,1,2,3];5:[0];6:[0];9:[0,2];8:[0];1:[0,2]","c0:bw=37,experts=[0,1,2]; c3:bw=26,experts=[0,2]; c4:bw=16,experts=[0]; c2:bw=20,experts=[0,2]; c7:bw=40,experts=[0,1,2,3]; c5:bw=13,experts=[0]; c6:bw=11,experts=[0]; c9:bw=21,experts=[0,2]; c8:bw=19,experts=[0]; c1:bw=25,experts=[0,2]","14.8756,1.3477,6.9962,0.6296,8.4464,13.9527,4.2996,11.5953,15.4675,43.6946"
45,2026-09-18 03:52:46,Ours,0.01,0.79084779903819,76.08,76.08,45,109.0268,1:49.03,105.8818,0.0777,3.0603,6054.8478,1:40:54.85,10,"8,0,3,4,7,2,9,6,5,1",8:31;0:20;3:37;4:36;7:20;2:27;9:14;6:10;5:25;1:31,"8:[0,1,2];0:[0,2];3:[0,1,2];4:[0,2,3];7:[0,2];2:[0,2];9:[0];6:[0];5:[0,2];1:[0,2,3]","c8:bw=31,experts=[0,1,2]; c0:bw=20,experts=[0,2]; c3:bw=37,experts=[0,1,2]; c4:bw=36,experts=[0,2,3]; c7:bw=20,experts=[0,2]; c2:bw=27,experts=[0,2]; c9:bw=14,experts=[0]; c6:bw=10,experts=[0]; c5:bw=25,experts=[0,2]; c1:bw=31,experts=[0,2,3]","13.7425,13.1062,1.1803,6.0742,7.2530,0.4901,9.6958,3.5742,12.0218,38.7436"
46,2026-09-18 03:54:34,Ours,0.01,0.7863417508861085,74.47,76.08,45,108.0345,1:48.03,105.2468,0.0774,2.7024,6162.9263,1:42:42.93,10,"9,3,6,1,4,5,2,8,0,7",9:20;3:15;6:21;1:23;4:35;5:23;2:32;8:22;0:30;7:16,"9:[0,2];3:[0];6:[0,2];1:[0,2];4:[0,1,2];5:[0,2];2:[0,1,2];8:[0,2];0:[0,1,2];7:[0]","c9:bw=20,experts=[0,2]; c3:bw=15,experts=[0]; c6:bw=21,experts=[0,2]; c1:bw=23,experts=[0,2]; c4:bw=35,experts=[0,1,2]; c5:bw=23,experts=[0,2]; c2:bw=32,experts=[0,1,2]; c8:bw=22,experts=[0,2]; c0:bw=30,experts=[0,1,2]; c7:bw=16,experts=[0]","9.7760,1.0707,3.6368,37.9536,6.3962,12.2557,0.5893,13.3774,12.9829,7.2081"
47,2026-09-18 03:56:21,Ours,0.01,0.7883606414133395,75.95,76.08,45,107.4656,1:47.47,104.6207,0.0818,2.755,6270.4335,1:44:30.43,10,"5,6,7,9,8,3,4,0,1,2",5:29;6:12;7:29;9:10;8:22;3:39;4:10;0:25;1:17;2:30,"5:[0,2];6:[0];7:[0,2];9:[0];8:[0,2];3:[0,1,2];4:[0];0:[0,2];1:[0];2:[0,1,2]","c5:bw=29,experts=[0,2]; c6:bw=12,experts=[0]; c7:bw=29,experts=[0,2]; c9:bw=10,experts=[0]; c8:bw=22,experts=[0,2]; c3:bw=39,experts=[0,1,2]; c4:bw=10,experts=[0]; c0:bw=25,experts=[0,2]; c1:bw=17,experts=[0]; c2:bw=30,experts=[0,1,2]","12.3364,3.6031,6.8765,9.9670,13.5306,1.0725,5.7889,13.0933,37.8563,0.4960"
48,2026-09-18 03:58:09,Ours,0.01,0.782858064759858,75.13,76.08,45,107.8999,1:47.90,105.0002,0.0801,2.8124,6378.3723,1:46:18.37,10,"1,8,4,2,9,6,5,7,0,3",1:28;8:28;4:37;2:31;9:29;6:25;5:31;7:35;0:10;3:10,"1:[0,2];8:[0,2];4:[0,2,3];2:[0,1,2];9:[0,2];6:[0,2];5:[0,1,2];7:[0,1,2];0:[0];3:[0]","c1:bw=28,experts=[0,2]; c8:bw=28,experts=[0,2]; c4:bw=37,experts=[0,2,3]; c2:bw=31,experts=[0,1,2]; c9:bw=29,experts=[0,2]; c6:bw=25,experts=[0,2]; c5:bw=31,experts=[0,1,2]; c7:bw=35,experts=[0,1,2]; c0:bw=10,experts=[0]; c3:bw=10,experts=[0]","37.9064,13.7821,5.9331,0.5717,9.7960,3.4240,12.4631,7.2011,12.8134,1.1094"
49,2026-09-18 03:59:58,Ours,0.01,0.7797217073783247,76.43,76.43,49,108.6397,1:48.64,105.607,0.0886,2.9371,6487.0498,1:48:07.05,10,"4,3,8,0,2,5,6,7,9,1",4:27;3:18;8:15;0:11;2:32;5:31;6:10;7:24;9:29;1:30,"4:[0,2];3:[0];8:[0];0:[0];2:[0,1,2];5:[0,1,2];6:[0];7:[0,2];9:[0,2];1:[0,1,2]","c4:bw=27,experts=[0,2]; c3:bw=18,experts=[0]; c8:bw=15,experts=[0]; c0:bw=11,experts=[0]; c2:bw=32,experts=[0,1,2]; c5:bw=31,experts=[0,1,2]; c6:bw=10,experts=[0]; c7:bw=24,experts=[0,2]; c9:bw=29,experts=[0,2]; c1:bw=30,experts=[0,1,2]","5.9052,1.1011,13.6163,12.7504,0.5084,12.5743,3.7312,7.0257,10.1803,38.2139"
50,2026-09-18 04:01:47,Ours,0.01,0.7790059102449439,77.11,77.11,50,108.746,1:48.75,106.0738,0.0779,2.5852,6595.8343,1:49:55.83,10,"8,4,7,6,2,1,3,0,9,5",8:18;4:10;7:19;6:38;2:35;1:36;3:22;0:16;9:15;5:17,"8:[0];4:[0];7:[0];6:[0,2,3];2:[0,1,2];1:[0,1,2];3:[0,2];0:[0];9:[0];5:[0]","c8:bw=18,experts=[0]; c4:bw=10,experts=[0]; c7:bw=19,experts=[0]; c6:bw=38,experts=[0,2,3]; c2:bw=35,experts=[0,1,2]; c1:bw=36,experts=[0,1,2]; c3:bw=22,experts=[0,2]; c0:bw=16,experts=[0]; c9:bw=15,experts=[0]; c5:bw=17,experts=[0]","13.6450,6.3224,7.1383,3.7440,0.5143,38.7952,1.1236,13.0323,9.7028,12.0559"
51,2026-09-18 04:03:35,Ours,0.01,0.7771232118920149,77.63,77.63,51,108.4854,1:48.49,105.7406,0.0887,2.6488,6704.3556,1:51:44.36,10,"5,0,1,2,8,6,9,3,4,7",5:26;0:30;1:12;2:11;8:26;6:29;9:10;3:31;4:10;7:15,"5:[0,2];0:[0,2,3];1:[0];2:[0];8:[0,2];6:[0,2];9:[0];3:[0,1,2];4:[0];7:[0]","c5:bw=26,experts=[0,2]; c0:bw=30,experts=[0,2,3]; c1:bw=12,experts=[0]; c2:bw=11,experts=[0]; c8:bw=26,experts=[0,2]; c6:bw=29,experts=[0,2]; c9:bw=10,experts=[0]; c3:bw=31,experts=[0,1,2]; c4:bw=10,experts=[0]; c7:bw=15,experts=[0]","12.1819,13.0409,38.2491,0.5550,13.6508,3.8639,9.9044,1.0722,6.0062,7.2162"
52,2026-09-18 04:05:24,Ours,0.01,0.7758129482501035,77.83,77.83,52,109.1709,1:49.17,106.3219,0.0914,2.7495,6813.5708,1:53:33.57,10,"0,8,5,7,1,4,9,6,2,3",0:26;8:10;5:13;7:19;1:22;4:18;9:17;6:28;2:16;3:24,"0:[0,2];8:[0];5:[0];7:[0];1:[0,2];4:[0];9:[0];6:[0,2];2:[0];3:[0,2]","c0:bw=26,experts=[0,2]; c8:bw=10,experts=[0]; c5:bw=13,experts=[0]; c7:bw=19,experts=[0]; c1:bw=22,experts=[0,2]; c4:bw=18,experts=[0]; c9:bw=17,experts=[0]; c6:bw=28,experts=[0,2]; c2:bw=16,experts=[0]; c3:bw=24,experts=[0,2]","13.0205,13.8058,12.0602,7.0796,38.6150,6.2940,10.0203,3.8203,0.4751,1.1311"
