Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
34,2026-09-25 20:12:20,Ours,0.01,1.9208772494627115,48.73,48.73,34,66.5529,1:06.55,65.2297,0.1433,1.179,2169.3034,36:09.30,10,"4,1,6,9,8,0,5,7,3,2",4:21;1:21;6:22;9:31;8:19;0:10;5:27;7:15;3:33;2:24,"4:[4,5];1:[2,3];6:[2,3];9:[3,4,5];8:[3];0:[4];5:[2,3];7:[4];3:[5,6,7];2:[3,4]","c4:bw=21,experts=[4,5]; c1:bw=21,experts=[2,3]; c6:bw=22,experts=[2,3]; c9:bw=31,experts=[3,4,5]; c8:bw=19,experts=[3]; c0:bw=10,experts=[4]; c5:bw=27,experts=[2,3]; c7:bw=15,experts=[4]; c3:bw=33,experts=[5,6,7]; c2:bw=24,experts=[3,4]","8.5592,5.4241,8.4660,4.4253,7.0604,6.2968,8.0106,5.8032,6.4755,4.7085"
35,2026-09-25 20:13:26,Ours,0.01,1.9087853181517769,48.99,48.99,35,66.216,1:06.22,64.8455,0.1619,1.2076,2235.547,37:15.55,10,"4,0,1,6,2,8,9,7,5,3",4:15;0:9;1:14;6:20;2:21;8:23;9:12;7:22;5:19;3:11,"4:[6];0:[];1:[4];6:[4,5];2:[5,6];8:[4,5];9:[6];7:[5,6];5:[4];3:[8]","c4:bw=15,experts=[6]; c0:bw=9,experts=[]; c1:bw=14,experts=[4]; c6:bw=20,experts=[4,5]; c2:bw=21,experts=[5,6]; c8:bw=23,experts=[4,5]; c9:bw=12,experts=[6]; c7:bw=22,experts=[5,6]; c5:bw=19,experts=[4]; c3:bw=11,experts=[8]","8.6055,5.9161,5.3631,8.3982,4.8831,6.8417,4.6285,5.9539,7.7640,6.4915"
36,2026-09-25 20:14:33,Ours,0.01,1.8950431851651204,48.89,48.99,35,66.5466,1:06.55,65.2225,0.1559,1.1671,2302.1214,38:22.12,10,"9,0,3,7,6,5,1,4,8,2",9:17;0:16;3:27;7:12;6:20;5:22;1:4;4:34;8:23;2:23,"9:[7];0:[5];3:[9,10];7:[7];6:[6,7];5:[5,6];1:[];4:[7,8,9];8:[6,7];2:[7,8]","c9:bw=17,experts=[7]; c0:bw=16,experts=[5]; c3:bw=27,experts=[9,10]; c7:bw=12,experts=[7]; c6:bw=20,experts=[6,7]; c5:bw=22,experts=[5,6]; c1:bw=4,experts=[]; c4:bw=34,experts=[7,8,9]; c8:bw=23,experts=[6,7]; c2:bw=23,experts=[7,8]","4.6282,5.9327,6.6484,5.8933,8.3827,7.8979,5.4162,8.8795,6.8673,4.6763"
37,2026-09-25 20:15:39,Ours,0.01,1.8908754425884102,50.02,50.02,37,66.5856,1:06.59,65.2441,0.1673,1.1731,2368.7366,39:28.74,10,"1,5,2,6,4,7,9,0,3,8",1:8;5:18;2:16;6:30;4:18;7:19;9:18;0:25;3:16;8:3,"1:[];5:[7];2:[9];6:[8,9,10];4:[10];7:[8];9:[8];0:[6,7];3:[11];8:[]","c1:bw=8,experts=[]; c5:bw=18,experts=[7]; c2:bw=16,experts=[9]; c6:bw=30,experts=[8,9,10]; c4:bw=18,experts=[10]; c7:bw=19,experts=[8]; c9:bw=18,experts=[8]; c0:bw=25,experts=[6,7]; c3:bw=16,experts=[11]; c8:bw=3,experts=[]","5.4220,8.0590,4.8239,8.7670,8.7791,5.8335,4.4188,5.9364,6.4869,6.7175"
38,2026-09-25 20:16:45,Ours,0.01,1.8786772594919245,49.47,50.02,37,65.4587,1:05.46,64.0985,0.1669,1.1922,2434.2229,40:34.22,10,"8,6,4,1,5,2,3,7,9,0",8:21;6:8;4:24;1:14;5:1;2:1;3:17;7:23;9:12;0:18,"8:[8,9];6:[];4:[12,13];1:[5];5:[];2:[];3:[12];7:[9,10];9:[9];0:[8]","c8:bw=21,experts=[8,9]; c6:bw=8,experts=[]; c4:bw=24,experts=[12,13]; c1:bw=14,experts=[5]; c5:bw=1,experts=[]; c2:bw=1,experts=[]; c3:bw=17,experts=[12]; c7:bw=23,experts=[9,10]; c9:bw=12,experts=[9]; c0:bw=18,experts=[8]","6.4902,8.3815,8.7300,5.3907,7.8735,4.7717,6.2867,5.7914,4.4341,5.9487"
39,2026-09-25 20:17:51,Ours,0.01,1.865367977844381,50.03,50.03,39,65.8373,1:05.84,64.516,0.1628,1.1576,2500.0886,41:40.09,10,"3,0,1,7,6,8,2,4,9,5",3:12;0:1;1:20;7:18;6:14;8:20;2:16;4:16;9:11;5:34,"3:[13];0:[];1:[6,7];7:[11];6:[12];8:[12,13];2:[10];4:[14];9:[10];5:[8,9,12]","c3:bw=12,experts=[13]; c0:bw=1,experts=[]; c1:bw=20,experts=[6,7]; c7:bw=18,experts=[11]; c6:bw=14,experts=[12]; c8:bw=20,experts=[12,13]; c2:bw=16,experts=[10]; c4:bw=16,experts=[14]; c9:bw=11,experts=[10]; c5:bw=34,experts=[8,9,12]","6.6278,6.0676,5.3754,5.7978,8.3873,6.6296,4.8654,8.6287,4.3276,7.8087"
40,2026-09-25 20:18:57,Ours,0.01,1.857248606176054,50.31,50.31,40,66.5026,1:06.50,65.1923,0.1548,1.1545,2566.6187,42:46.62,10,"8,1,5,6,2,7,3,4,9,0",8:12;1:19;5:14;6:21;2:30;7:30;3:3;4:9;9:18;0:16,"8:[14];1:[8];5:[13];6:[13,14];2:[11,12,13];7:[12,13,14];3:[];4:[];9:[12];0:[9]","c8:bw=12,experts=[14]; c1:bw=19,experts=[8]; c5:bw=14,experts=[13]; c6:bw=21,experts=[13,14]; c2:bw=30,experts=[11,12,13]; c7:bw=30,experts=[12,13,14]; c3:bw=3,experts=[]; c4:bw=9,experts=[]; c9:bw=18,experts=[12]; c0:bw=16,experts=[9]","6.7674,5.6051,7.9654,8.2969,5.5292,6.0361,6.2869,8.5315,4.4404,5.7332"
41,2026-09-25 20:20:03,Ours,0.01,1.8470766094396172,49.75,50.31,40,65.6112,1:05.61,64.2123,0.1823,1.2155,2632.2577,43:52.26,10,"2,6,8,1,4,5,7,3,9,0",2:24;6:1;8:26;1:4;4:23;5:28;7:31;3:18;9:24;0:1,"2:[14,16];6:[];8:[16,18];1:[];4:[16,18];5:[14,16];7:[16,18,19];3:[14];9:[13,14];0:[]","c2:bw=24,experts=[14,16]; c6:bw=1,experts=[]; c8:bw=26,experts=[16,18]; c1:bw=4,experts=[]; c4:bw=23,experts=[16,18]; c5:bw=28,experts=[14,16]; c7:bw=31,experts=[16,18,19]; c3:bw=18,experts=[14]; c9:bw=24,experts=[13,14]; c0:bw=1,experts=[]","4.6975,8.4668,6.6903,5.5472,8.3942,7.8097,5.7469,6.3286,4.3984,6.1328"
42,2026-09-25 20:21:08,Ours,0.01,1.8360187114379953,51.03,51.03,42,65.5442,1:05.54,64.2045,0.1744,1.1644,2697.8316,44:57.83,10,"5,1,3,9,6,0,7,4,8,2",5:23;1:22;3:22;9:23;6:16;0:7;7:9;4:25;8:19;2:18,"5:[18,19];1:[9,10];3:[15,16];9:[16,18];6:[16];0:[];7:[];4:[19,21];8:[19];2:[18]","c5:bw=23,experts=[18,19]; c1:bw=22,experts=[9,10]; c3:bw=22,experts=[15,16]; c9:bw=23,experts=[16,18]; c6:bw=16,experts=[16]; c0:bw=7,experts=[]; c7:bw=9,experts=[]; c4:bw=25,experts=[19,21]; c8:bw=19,experts=[19]; c2:bw=18,experts=[18]","7.9553,5.3217,6.6128,4.4132,8.2163,5.8819,5.7051,8.5301,6.8093,4.7588"
43,2026-09-25 20:22:15,Ours,0.01,1.8297297039911604,51.05,51.05,43,66.742,1:06.74,65.4078,0.1749,1.1583,2764.6037,46:04.60,10,"5,1,2,8,9,7,4,6,3,0",5:24;1:26;2:23;8:21;9:14;7:10;4:16;6:5;3:29;0:10,"5:[21,22];1:[11,12];2:[19,21];8:[21,22];9:[19];7:[21];4:[22];6:[];3:[18,19];0:[10]","c5:bw=24,experts=[21,22]; c1:bw=26,experts=[11,12]; c2:bw=23,experts=[19,21]; c8:bw=21,experts=[21,22]; c9:bw=14,experts=[19]; c7:bw=10,experts=[21]; c4:bw=16,experts=[22]; c6:bw=5,experts=[]; c3:bw=29,experts=[18,19]; c0:bw=10,experts=[10]","7.9086,5.4059,4.6089,7.2236,4.6748,5.9065,8.5619,8.4136,6.5018,6.2021"
44,2026-09-25 20:23:21,Ours,0.01,1.821606199223305,51.16,51.16,44,65.8223,1:05.82,64.5189,0.1706,1.1319,2830.4548,47:10.45,10,"0,3,4,2,7,5,6,9,8,1",0:30;3:21;4:13;2:17;7:34;5:11;6:9;9:17;8:16;1:20,"0:[12,13,14];3:[21,22];4:[23];2:[22];7:[22,23,24];5:[23];6:[];9:[21];8:[23];1:[13,14]","c0:bw=30,experts=[12,13,14]; c3:bw=21,experts=[21,22]; c4:bw=13,experts=[23]; c2:bw=17,experts=[22]; c7:bw=34,experts=[22,23,24]; c5:bw=11,experts=[23]; c6:bw=9,experts=[]; c9:bw=17,experts=[21]; c8:bw=16,experts=[23]; c1:bw=20,experts=[13,14]","5.9315,6.3782,8.6915,4.6219,5.8642,7.8256,8.3048,4.5500,6.8986,5.4526"
45,2026-09-25 20:24:27,Ours,0.01,1.8087924477261264,51.4,51.4,45,65.5913,1:05.59,64.2282,0.1716,1.1905,2896.075,48:16.08,10,"8,0,3,4,7,2,9,6,5,1",8:25;0:16;3:30;4:29;7:16;2:22;9:11;6:2;5:20;1:25,"8:[24,25];0:[16];3:[23,24,25];4:[24,25];7:[25];2:[23,24];9:[22];6:[];5:[24,25];1:[15,16]","c8:bw=25,experts=[24,25]; c0:bw=16,experts=[16]; c3:bw=30,experts=[23,24,25]; c4:bw=29,experts=[24,25]; c7:bw=16,experts=[25]; c2:bw=22,experts=[23,24]; c9:bw=11,experts=[22]; c6:bw=2,experts=[]; c5:bw=20,experts=[24,25]; c1:bw=25,experts=[15,16]","6.6449,5.7997,6.3492,8.5060,5.8047,4.6308,4.3574,8.6901,7.9854,5.4599"
46,2026-09-25 20:25:32,Ours,0.01,1.8003901397847506,51.92,51.92,46,65.5971,1:05.60,64.2444,0.1698,1.1819,2961.7024,49:21.70,10,"9,3,6,1,4,5,2,8,0,7",9:17;3:12;6:18;1:18;4:29;5:19;2:26;8:18;0:25;7:13,"9:[23];3:[26];6:[18];1:[18];4:[26,27];5:[26];2:[25,26];8:[26];0:[18,19];7:[26]","c9:bw=17,experts=[23]; c3:bw=12,experts=[26]; c6:bw=18,experts=[18]; c1:bw=18,experts=[18]; c4:bw=29,experts=[26,27]; c5:bw=19,experts=[26]; c2:bw=26,experts=[25,26]; c8:bw=18,experts=[26]; c0:bw=25,experts=[18,19]; c7:bw=13,experts=[26]","4.4516,6.2995,8.2270,5.3897,8.4947,8.0483,4.9019,6.7312,5.8812,5.8193"
47,2026-09-25 20:26:38,Ours,0.01,1.7882743953540263,52.04,52.04,47,66.2343,1:06.23,64.913,0.1777,1.1425,3027.9678,50:27.97,10,"5,6,7,9,8,3,4,0,1,2",5:23;6:10;7:24;9:8;8:18;3:32;4:4;0:21;1:14;2:25,"5:[27,28];6:[19];7:[27,28];9:[];8:[27];3:[27,28,29];4:[];0:[21,22];1:[19];2:[27,28]","c5:bw=23,experts=[27,28]; c6:bw=10,experts=[19]; c7:bw=24,experts=[27,28]; c9:bw=8,experts=[]; c8:bw=18,experts=[27]; c3:bw=32,experts=[27,28,29]; c4:bw=4,experts=[]; c0:bw=21,experts=[21,22]; c1:bw=14,experts=[19]; c2:bw=25,experts=[27,28]","7.7724,8.4208,5.8630,4.4390,7.0322,6.6170,8.7674,5.9773,5.3609,4.6630"
48,2026-09-25 20:27:44,Ours,0.01,1.786926119905037,51.66,52.04,47,65.3051,1:05.31,63.9458,0.1751,1.1832,3093.305,51:33.30,10,"1,8,4,2,9,6,5,7,0,3",1:23;8:23;4:31;2:26;9:24;6:21;5:25;7:28;0:7;3:8,"1:[21,22];8:[28,29];4:[28,29,30];2:[29,30];9:[24,25];6:[21,22];5:[29,30];7:[29,30];0:[];3:[]","c1:bw=23,experts=[21,22]; c8:bw=23,experts=[28,29]; c4:bw=31,experts=[28,29,30]; c2:bw=26,experts=[29,30]; c9:bw=24,experts=[24,25]; c6:bw=21,experts=[21,22]; c5:bw=25,experts=[29,30]; c7:bw=28,experts=[29,30]; c0:bw=7,experts=[]; c3:bw=8,experts=[]","5.4043,6.6633,8.3521,4.7310,4.4108,8.3116,7.7646,5.8680,5.9107,6.5294"
49,2026-09-25 20:28:48,Ours,0.01,1.7787927403948889,31.93,52.04,47,63.9078,1:03.91,62.6249,0.185,1.0969,3157.2421,52:37.24,10,"4,3,8,0,2,5,6,7,9,1",4:22;3:14;8:12;0:9;2:27;5:26;6:6;7:20;9:24;1:25,"4:[11,31];3:[30];8:[30];0:[];2:[20,31];5:[10,31];6:[];7:[15,31];9:[26,27];1:[23,24]","c4:bw=22,experts=[11,31]; c3:bw=14,experts=[30]; c8:bw=12,experts=[30]; c0:bw=9,experts=[]; c2:bw=27,experts=[20,31]; c5:bw=26,experts=[10,31]; c6:bw=6,experts=[]; c7:bw=20,experts=[15,31]; c9:bw=24,experts=[26,27]; c1:bw=25,experts=[23,24]","8.3660,6.3892,6.5304,5.7868,4.7471,8.0254,8.0655,5.4362,4.1813,5.0970"
50,2026-09-25 20:29:49,Ours,0.01,1.7911236490349889,37.2,52.04,47,61.5424,1:01.54,60.2913,0.1681,1.0821,3218.8157,53:38.82,10,"8,4,7,6,2,1,3,0,9,5",8:15;4:3;7:16;6:31;2:29;1:29;3:18;0:13;9:12;5:14,"8:[31];4:[];7:[20];6:[23,24,25];2:[17,20];1:[25,26];3:[31];0:[23];9:[28];5:[11]","c8:bw=15,experts=[31]; c4:bw=3,experts=[]; c7:bw=16,experts=[20]; c6:bw=31,experts=[23,24,25]; c2:bw=29,experts=[17,20]; c1:bw=29,experts=[25,26]; c3:bw=18,experts=[31]; c0:bw=13,experts=[23]; c9:bw=12,experts=[28]; c5:bw=14,experts=[11]","6.2142,7.9105,5.3908,7.9867,4.5935,5.1711,6.1042,5.4954,4.1270,7.2979"
51,2026-09-25 20:30:54,Ours,0.01,1.7788389924339174,43.68,52.04,47,65.0875,1:05.09,63.7478,0.1868,1.1519,3283.9309,54:43.93,10,"5,0,1,2,8,6,9,3,4,7",5:22;0:24;1:10;2:9;8:21;6:24;9:8;3:25;4:5;7:12,"5:[15,20];0:[24,25];1:[27];2:[];8:[10,11];6:[26,27];9:[];3:[0,20];4:[];7:[20]","c5:bw=22,experts=[15,20]; c0:bw=24,experts=[24,25]; c1:bw=10,experts=[27]; c2:bw=9,experts=[]; c8:bw=21,experts=[10,11]; c6:bw=24,experts=[26,27]; c9:bw=8,experts=[]; c3:bw=25,experts=[0,20]; c4:bw=5,experts=[]; c7:bw=12,experts=[20]","7.2250,5.9421,5.3618,4.7659,6.6683,8.4412,4.5229,6.4563,8.4583,5.9059"
52,2026-09-25 20:32:00,Ours,0.01,1.76499389163736,45.91,52.04,47,65.4666,1:05.47,64.15,0.1776,1.138,3349.4299,55:49.43,10,"0,8,5,7,1,4,9,6,2,3",0:21;8:8;5:11;7:16;1:18;4:15;9:14;6:23;2:13;3:19,"0:[26,27];8:[];5:[20];7:[20];1:[28];4:[15];9:[29];6:[28,29];2:[20];3:[20]","c0:bw=21,experts=[26,27]; c8:bw=8,experts=[]; c5:bw=11,experts=[20]; c7:bw=16,experts=[20]; c1:bw=18,experts=[28]; c4:bw=15,experts=[15]; c9:bw=14,experts=[29]; c6:bw=23,experts=[28,29]; c2:bw=13,experts=[20]; c3:bw=19,experts=[20]","5.9414,6.6567,7.7638,5.7568,5.4029,8.5543,4.4636,8.4993,4.7349,6.3762"
53,2026-09-25 20:33:05,Ours,0.01,1.7573257986081618,49.24,52.04,47,65.2247,1:05.22,63.8622,0.182,1.1796,3414.6861,56:54.69,10,"8,4,5,1,3,9,6,7,0,2",8:10;4:13;5:20;1:27;3:21;9:28;6:16;7:20;0:18;2:23,"8:[15];4:[20];5:[17,20];1:[29,30];3:[17,20];9:[30,31];6:[30];7:[17,20];0:[28];2:[17,20]","c8:bw=10,experts=[15]; c4:bw=13,experts=[20]; c5:bw=20,experts=[17,20]; c1:bw=27,experts=[29,30]; c3:bw=21,experts=[17,20]; c9:bw=28,experts=[30,31]; c6:bw=16,experts=[30]; c7:bw=20,experts=[17,20]; c0:bw=18,experts=[28]; c2:bw=23,experts=[17,20]","6.5572,8.3669,7.6435,5.3636,6.4971,4.5759,8.4662,5.7468,5.8091,4.8358"
54,2026-09-25 20:34:10,Ours,0.01,1.7373301251172646,50.19,52.04,47,64.739,1:04.74,63.4182,0.1778,1.142,3479.4545,57:59.45,10,"2,1,8,7,3,0,6,5,9,4",2:4;1:24;8:25;7:28;3:14;0:17;6:25;5:1;9:23;4:14,"2:[];1:[20,31];8:[17,20];7:[17,20];3:[20];0:[29];6:[11,31];5:[];9:[0,11];4:[20]","c2:bw=4,experts=[]; c1:bw=24,experts=[20,31]; c8:bw=25,experts=[17,20]; c7:bw=28,experts=[17,20]; c3:bw=14,experts=[20]; c0:bw=17,experts=[29]; c6:bw=25,experts=[11,31]; c5:bw=1,experts=[]; c9:bw=23,experts=[0,11]; c4:bw=14,experts=[20]","4.6440,5.3044,6.5482,5.7622,6.4566,5.8635,8.4195,7.7101,4.3631,8.3464"
55,2026-09-25 20:35:15,Ours,0.01,1.727815490257997,49.68,52.04,47,65.4171,1:05.42,64.1086,0.1768,1.1306,3544.905,59:04.91,10,"7,2,4,3,8,5,1,6,0,9",7:25;2:19;4:7;3:24;8:6;5:24;1:27;6:19;0:13;9:28,"7:[17,20];2:[15];4:[];3:[17,20];8:[];5:[17,20];1:[17,20];6:[15];0:[30];9:[15,20]","c7:bw=25,experts=[17,20]; c2:bw=19,experts=[15]; c4:bw=7,experts=[]; c3:bw=24,experts=[17,20]; c8:bw=6,experts=[]; c5:bw=24,experts=[17,20]; c1:bw=27,experts=[17,20]; c6:bw=19,experts=[15]; c0:bw=13,experts=[30]; c9:bw=28,experts=[15,20]","5.7665,4.7589,8.4215,6.3795,6.6634,7.8752,5.4669,8.3932,5.9177,4.4657"
56,2026-09-25 20:36:20,Ours,0.01,1.7222100601095982,51.08,52.04,47,65.0823,1:05.08,63.7151,0.1705,1.1957,3610.0213,1:00:10.02,10,"9,1,3,2,5,4,8,7,6,0",9:24;1:26;3:4;2:24;5:14;4:4;8:6;7:8;6:11;0:32,"9:[17,20];1:[17,20];3:[];2:[17,20];5:[20];4:[];8:[];7:[];6:[20];0:[11,15,31]","c9:bw=24,experts=[17,20]; c1:bw=26,experts=[17,20]; c3:bw=4,experts=[]; c2:bw=24,experts=[17,20]; c5:bw=14,experts=[20]; c4:bw=4,experts=[]; c8:bw=6,experts=[]; c7:bw=8,experts=[]; c6:bw=11,experts=[20]; c0:bw=32,experts=[11,15,31]","4.4270,5.3556,6.3425,4.6518,7.7542,8.6028,6.7974,5.7507,8.2676,5.7654"
57,2026-09-25 20:37:25,Ours,0.01,1.7198375585594747,54.71,54.71,57,64.9557,1:04.96,63.6072,0.1821,1.1654,3675.0094,1:01:15.01,10,"3,8,6,1,7,0,5,4,2,9",3:29;8:19;6:22;1:22;7:31;0:32;5:20;4:19;2:15;9:9,"3:[17,20];8:[20];6:[17,20];1:[17,20];7:[15,17,20];0:[15,17,20];5:[17,20];4:[20];2:[20];9:[]","c3:bw=29,experts=[17,20]; c8:bw=19,experts=[20]; c6:bw=22,experts=[17,20]; c1:bw=22,experts=[17,20]; c7:bw=31,experts=[15,17,20]; c0:bw=32,experts=[15,17,20]; c5:bw=20,experts=[17,20]; c4:bw=19,experts=[20]; c2:bw=15,experts=[20]; c9:bw=9,experts=[]","6.3044,6.5821,8.3043,5.3962,5.8984,5.9505,7.7398,8.3900,4.6899,4.3515"
58,2026-09-25 20:38:31,Ours,0.01,1.704573981515996,55.12,55.12,58,65.1925,1:05.19,63.8878,0.1752,1.1286,3740.236,1:02:20.24,10,"7,2,9,6,5,1,8,4,3,0",7:11;2:2;9:26;6:25;5:16;1:14;8:18;4:17;3:28;0:22,"7:[20];2:[];9:[17,20];6:[17,20];5:[20];1:[20];8:[20];4:[20];3:[17,20];0:[17,20]","c7:bw=11,experts=[20]; c2:bw=2,experts=[]; c9:bw=26,experts=[17,20]; c6:bw=25,experts=[17,20]; c5:bw=16,experts=[20]; c1:bw=14,experts=[20]; c8:bw=18,experts=[20]; c4:bw=17,experts=[20]; c3:bw=28,experts=[17,20]; c0:bw=22,experts=[17,20]","5.7665,4.7872,4.4122,8.2782,7.8459,5.4022,6.6562,8.3677,6.4496,5.9221"
59,2026-09-25 20:39:36,Ours,0.01,1.691938038025975,55.1,55.12,58,65.0908,1:05.09,63.7925,0.1683,1.129,3805.3608,1:03:25.36,10,"2,8,9,6,1,4,7,5,0,3",2:17;8:25;9:13;6:9;1:30;4:12;7:13;5:15;0:24;3:16,"2:[20];8:[17,20];9:[20];6:[];1:[15,17,20];4:[20];7:[20];5:[20];0:[17,20];3:[20]","c2:bw=17,experts=[20]; c8:bw=25,experts=[17,20]; c9:bw=13,experts=[20]; c6:bw=9,experts=[]; c1:bw=30,experts=[15,17,20]; c4:bw=12,experts=[20]; c7:bw=13,experts=[20]; c5:bw=15,experts=[20]; c0:bw=24,experts=[17,20]; c3:bw=16,experts=[20]","4.6908,6.5686,4.4046,8.2270,5.3852,8.6170,5.8037,7.8670,5.8531,6.3755"
60,2026-09-25 20:40:41,Ours,0.01,1.688951489079343,55.56,55.56,60,64.7966,1:04.80,63.4996,0.1701,1.1258,3870.1923,1:04:30.19,10,"0,7,4,2,5,8,6,9,1,3",0:24;7:22;4:14;2:14;5:15;8:11;6:27;9:3;1:25;3:20,"0:[17,20];7:[17,20];4:[20];2:[20];5:[20];8:[20];6:[17,20];9:[];1:[17,20];3:[17,20]","c0:bw=24,experts=[17,20]; c7:bw=22,experts=[17,20]; c4:bw=14,experts=[20]; c2:bw=14,experts=[20]; c5:bw=15,experts=[20]; c8:bw=11,experts=[20]; c6:bw=27,experts=[17,20]; c9:bw=3,experts=[]; c1:bw=25,experts=[17,20]; c3:bw=20,experts=[17,20]","5.8161,5.7061,8.3603,4.6970,7.9930,6.7128,8.2375,4.3142,5.3340,6.3287"
61,2026-09-25 20:41:46,Ours,0.01,1.6746401741195693,56.09,56.09,61,65.1572,1:05.16,63.7791,0.1867,1.1904,3935.3832,1:05:35.38,10,"5,6,2,9,1,3,8,4,7,0",5:22;6:17;2:13;9:17;1:15;3:20;8:25;4:17;7:20;0:27,"5:[17,20];6:[20];2:[20];9:[20];1:[20];3:[17,20];8:[17,20];4:[20];7:[17,20];0:[17,20]","c5:bw=22,experts=[17,20]; c6:bw=17,experts=[20]; c2:bw=13,experts=[20]; c9:bw=17,experts=[20]; c1:bw=15,experts=[20]; c3:bw=20,experts=[17,20]; c8:bw=25,experts=[17,20]; c4:bw=17,experts=[20]; c7:bw=20,experts=[17,20]; c0:bw=27,experts=[17,20]","7.6986,8.3554,4.7815,4.2977,5.3025,6.5501,6.6021,8.3544,5.7795,6.0572"
62,2026-09-25 20:42:51,Ours,0.01,1.6719106966986583,55.05,56.09,61,65.2499,1:05.25,63.8963,0.1772,1.1753,4000.6675,1:06:40.67,10,"8,6,9,4,5,0,3,2,1,7",8:6;6:28;9:7;4:27;5:31;0:13;3:24;2:19;1:34;7:20,"8:[];6:[17,20];9:[];4:[17,20];5:[15,17,20];0:[20];3:[17,20];2:[20];1:[15,17,20];7:[17,20]","c8:bw=6,experts=[]; c6:bw=28,experts=[17,20]; c9:bw=7,experts=[]; c4:bw=27,experts=[17,20]; c5:bw=31,experts=[15,17,20]; c0:bw=13,experts=[20]; c3:bw=24,experts=[17,20]; c2:bw=19,experts=[20]; c1:bw=34,experts=[15,17,20]; c7:bw=20,experts=[17,20]","6.5989,8.2903,4.3675,8.4400,7.8429,5.9279,6.5158,4.7360,5.3654,5.8116"
63,2026-09-25 20:43:56,Ours,0.01,1.6618379799236778,55.95,56.09,61,65.1346,1:05.13,63.8111,0.1802,1.1422,4065.839,1:07:45.84,10,"5,9,6,3,8,1,7,0,2,4",5:4;9:10;6:15;3:24;8:14;1:23;7:31;0:19;2:13;4:24,"5:[];9:[20];6:[20];3:[17,20];8:[20];1:[17,20];7:[15,17,20];0:[20];2:[20];4:[17,20]","c5:bw=4,experts=[]; c9:bw=10,experts=[20]; c6:bw=15,experts=[20]; c3:bw=24,experts=[17,20]; c8:bw=14,experts=[20]; c1:bw=23,experts=[17,20]; c7:bw=31,experts=[15,17,20]; c0:bw=19,experts=[20]; c2:bw=13,experts=[20]; c4:bw=24,experts=[17,20]","7.7356,4.3711,8.4316,6.6277,6.6421,5.3723,5.7525,5.8261,4.6834,8.3687"
64,2026-09-25 20:45:03,Ours,0.01,1.65558961593393,49.0,56.09,61,66.3629,1:06.36,65.0071,0.1645,1.1902,4132.2356,1:08:52.24,10,"6,4,5,3,7,0,8,9,2,1",6:23;4:17;5:11;3:17;7:15;0:14;8:24;9:27;2:25;1:13,"6:[0,20];4:[0];5:[0];3:[1];7:[0];0:[0];8:[0,20];9:[1,20];2:[0,1];1:[0]","c6:bw=23,experts=[0,20]; c4:bw=17,experts=[0]; c5:bw=11,experts=[0]; c3:bw=17,experts=[1]; c7:bw=15,experts=[0]; c0:bw=14,experts=[0]; c8:bw=24,experts=[0,20]; c9:bw=27,experts=[1,20]; c2:bw=25,experts=[0,1]; c1:bw=13,experts=[0]","8.6483,8.5743,7.7264,6.3803,5.7490,5.8297,6.6657,4.5241,5.1337,5.7754"
65,2026-09-25 20:46:11,Ours,0.01,1.6565487116582378,51.94,56.09,61,68.657,1:08.66,67.2577,0.1663,1.2317,4200.9293,1:10:00.93,10,"7,5,4,6,8,3,0,2,1,9",7:4;5:13;4:26;6:23;8:30;3:19;0:19;2:13;1:26;9:21,"7:[];5:[1];4:[1,2];6:[1,20];8:[1,2,20];3:[2];0:[1];2:[2];1:[1,20];9:[2,20]","c7:bw=4,experts=[]; c5:bw=13,experts=[1]; c4:bw=26,experts=[1,2]; c6:bw=23,experts=[1,20]; c8:bw=30,experts=[1,2,20]; c3:bw=19,experts=[2]; c0:bw=19,experts=[1]; c2:bw=13,experts=[2]; c1:bw=26,experts=[1,20]; c9:bw=21,experts=[2,20]","5.9644,8.1124,8.7391,8.5835,6.9796,6.8791,6.3185,5.0539,5.8705,4.7567"
66,2026-09-25 20:47:22,Ours,0.01,1.6497403830538793,52.46,56.09,61,70.3277,1:10.33,68.9482,0.1759,1.2024,4271.2904,1:11:11.29,10,"2,5,1,8,9,6,4,0,3,7",2:19;5:8;1:25;8:11;9:14;6:13;4:19;0:17;3:30;7:23,"2:[3];5:[];1:[2,3];8:[3];9:[3];6:[2];4:[3];0:[2];3:[3,4,5];7:[1,2]","c2:bw=19,experts=[3]; c5:bw=8,experts=[]; c1:bw=25,experts=[2,3]; c8:bw=11,experts=[3]; c9:bw=14,experts=[3]; c6:bw=13,experts=[2]; c4:bw=19,experts=[3]; c0:bw=17,experts=[2]; c3:bw=30,experts=[3,4,5]; c7:bw=23,experts=[1,2]","5.0764,8.3280,5.8351,7.0467,4.8824,9.1222,9.1643,6.3342,6.9553,6.2036"
