Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
33,2026-09-18 07:37:10,Ours,0.01,0.8073857640757625,73.04,73.04,33,49.5799,0:49.58,48.3473,0.1262,1.1019,1654.126,27:34.13,10,"7,1,3,6,5,9,2,8,4,0",7:29;1:19;3:39;6:20;5:16;9:23;2:13;8:28;4:25;0:35,"7:[0,1];1:[0];3:[0,1,2];6:[0,1];5:[0];9:[0,1];2:[0];8:[0,1];4:[0,1];0:[0,1,2]","c7:bw=29,experts=[0,1]; c1:bw=19,experts=[0]; c3:bw=39,experts=[0,1,2]; c6:bw=20,experts=[0,1]; c5:bw=16,experts=[0]; c9:bw=23,experts=[0,1]; c2:bw=13,experts=[0]; c8:bw=28,experts=[0,1]; c4:bw=25,experts=[0,1]; c0:bw=35,experts=[0,1,2]","3.3568,17.5591,0.5566,1.7213,5.5031,4.5479,0.2731,6.2471,2.7312,5.8511"
34,2026-09-18 07:38:00,Ours,0.01,0.8047181515004567,74.0,74.0,34,49.6503,0:49.65,48.4308,0.1261,1.0921,1703.795,28:23.80,10,"4,1,6,9,8,0,5,7,3,2",4:26;1:26;6:27;9:38;8:23;0:12;5:33;7:18;3:40;2:30,"4:[0,1];1:[0,1];6:[0,1];9:[0,1,2];8:[0,1];0:[0];5:[0,1,2];7:[0];3:[0,1,2,3];2:[0,1,2]","c4:bw=26,experts=[0,1]; c1:bw=26,experts=[0,1]; c6:bw=27,experts=[0,1]; c9:bw=38,experts=[0,1,2]; c8:bw=23,experts=[0,1]; c0:bw=12,experts=[0]; c5:bw=33,experts=[0,1,2]; c7:bw=18,experts=[0]; c3:bw=40,experts=[0,1,2,3]; c2:bw=30,experts=[0,1,2]","2.7409,17.6204,1.7359,4.5596,6.2287,5.8860,5.5059,3.3140,0.5613,0.2781"
35,2026-09-18 07:38:49,Ours,0.01,0.8004248593704595,73.14,74.0,34,49.8796,0:49.88,48.6434,0.1275,1.1074,1753.6938,29:13.69,10,"4,0,1,6,2,8,9,7,5,3",4:18;0:11;1:17;6:24;2:25;8:28;9:15;7:27;5:23;3:13,"4:[0];0:[0];1:[0];6:[0,1];2:[0,1];8:[0,1];9:[0];7:[0,1];5:[0,1];3:[0]","c4:bw=18,experts=[0]; c0:bw=11,experts=[0]; c1:bw=17,experts=[0]; c6:bw=24,experts=[0,1]; c2:bw=25,experts=[0,1]; c8:bw=28,experts=[0,1]; c9:bw=15,experts=[0]; c7:bw=27,experts=[0,1]; c5:bw=23,experts=[0,1]; c3:bw=13,experts=[0]","2.7274,5.9169,17.6259,1.7278,0.2754,6.4238,4.5468,3.3245,5.5189,0.5558"
36,2026-09-18 07:39:39,Ours,0.01,0.7960340175648337,74.38,74.38,36,49.7958,0:49.80,48.5714,0.1247,1.0984,1803.5092,30:03.51,10,"9,0,3,7,6,5,1,4,8,2",9:21;0:20;3:33;7:15;6:24;5:27;1:10;4:40;8:28;2:28,"9:[0,1];0:[0,1];3:[0,1,2];7:[0];6:[0,1];5:[0,1];1:[0];4:[0,1,2,3];8:[0,1];2:[0,1]","c9:bw=21,experts=[0,1]; c0:bw=20,experts=[0,1]; c3:bw=33,experts=[0,1,2]; c7:bw=15,experts=[0]; c6:bw=24,experts=[0,1]; c5:bw=27,experts=[0,1]; c1:bw=10,experts=[0]; c4:bw=40,experts=[0,1,2,3]; c8:bw=28,experts=[0,1]; c2:bw=28,experts=[0,1]","4.6038,5.9197,0.5653,3.3362,1.7990,5.4994,17.4686,2.7197,6.3874,0.2722"
37,2026-09-18 07:40:29,Ours,0.01,0.781686621564871,75.18,75.18,37,49.9293,0:49.93,48.6923,0.1275,1.1082,1853.4581,30:53.46,10,"1,5,2,6,4,7,9,0,3,8",1:10;5:22;2:20;6:36;4:22;7:23;9:22;0:30;3:20;8:10,"1:[0];5:[0,1];2:[0,1];6:[0,1,2];4:[0,1];7:[0,1];9:[0,1];0:[0,1,2];3:[0,1];8:[0]","c1:bw=10,experts=[0]; c5:bw=22,experts=[0,1]; c2:bw=20,experts=[0,1]; c6:bw=36,experts=[0,1,2]; c4:bw=22,experts=[0,1]; c7:bw=23,experts=[0,1]; c9:bw=22,experts=[0,1]; c0:bw=30,experts=[0,1,2]; c3:bw=20,experts=[0,1]; c8:bw=10,experts=[0]","17.6529,5.5445,0.2791,1.7186,2.7403,3.3168,4.5363,6.0276,0.5660,6.3101"
38,2026-09-18 07:41:19,Ours,0.01,0.7966606907506827,74.22,75.18,37,50.1433,0:50.14,48.9077,0.1244,1.11,1903.6211,31:43.62,10,"8,6,4,1,5,2,3,7,9,0",8:25;6:10;4:29;1:17;5:10;2:10;3:21;7:28;9:14;0:22,"8:[0,1];6:[0];4:[0,1];1:[0];5:[0];2:[0];3:[0,1];7:[0,1];9:[0];0:[0,1]","c8:bw=25,experts=[0,1]; c6:bw=10,experts=[0]; c4:bw=29,experts=[0,1]; c1:bw=17,experts=[0]; c5:bw=10,experts=[0]; c2:bw=10,experts=[0]; c3:bw=21,experts=[0,1]; c7:bw=28,experts=[0,1]; c9:bw=14,experts=[0]; c0:bw=22,experts=[0,1]","6.3677,1.7245,2.7289,17.9002,5.4961,0.2720,0.5567,3.3312,4.5392,5.9912"
39,2026-09-18 07:42:09,Ours,0.01,0.7909722386716191,74.77,75.18,37,49.8107,0:49.81,48.5832,0.1256,1.1008,1953.4521,32:33.45,10,"3,0,1,7,6,8,2,4,9,5",3:14;0:10;1:25;7:22;6:17;8:25;2:20;4:20;9:13;5:40,"3:[0];0:[0];1:[0,1];7:[0,1];6:[0];8:[0,1];2:[0,1];4:[0,1];9:[0];5:[0,1,2,3]","c3:bw=14,experts=[0]; c0:bw=10,experts=[0]; c1:bw=25,experts=[0,1]; c7:bw=22,experts=[0,1]; c6:bw=17,experts=[0]; c8:bw=25,experts=[0,1]; c2:bw=20,experts=[0,1]; c4:bw=20,experts=[0,1]; c9:bw=13,experts=[0]; c5:bw=40,experts=[0,1,2,3]","0.5604,5.9170,17.6679,3.3467,1.7077,6.3152,0.2771,2.7347,4.5626,5.4938"
40,2026-09-18 07:42:59,Ours,0.01,0.7818512449947329,73.85,75.18,37,49.9299,0:49.93,48.6974,0.1239,1.1033,2003.4027,33:23.40,10,"8,1,5,6,2,7,3,4,9,0",8:14;1:23;5:18;6:26;2:36;7:37;3:10;4:11;9:22;0:20,"8:[0];1:[0,1];5:[0];6:[0,1];2:[0,1,2];7:[0,1,2];3:[1];4:[0];9:[0,1];0:[0,1]","c8:bw=14,experts=[0]; c1:bw=23,experts=[0,1]; c5:bw=18,experts=[0]; c6:bw=26,experts=[0,1]; c2:bw=36,experts=[0,1,2]; c7:bw=37,experts=[0,1,2]; c3:bw=10,experts=[1]; c4:bw=11,experts=[0]; c9:bw=22,experts=[0,1]; c0:bw=20,experts=[0,1]","6.3310,17.6898,5.5144,1.7160,0.2732,3.3290,0.5667,2.7105,4.5777,5.9892"
41,2026-09-18 07:43:49,Ours,0.01,0.7804643649938259,76.1,76.1,41,49.879,0:49.88,48.651,0.131,1.0958,2053.3039,34:13.30,10,"2,6,8,1,4,5,7,3,9,0",2:30;6:10;8:31;1:10;4:28;5:34;7:38;3:22;9:30;0:10,"2:[0,1,2];6:[0];8:[0,1,2];1:[0];4:[0,1];5:[0,1,2];7:[0,1,2];3:[0,1];9:[0,1,2];0:[0]","c2:bw=30,experts=[0,1,2]; c6:bw=10,experts=[0]; c8:bw=31,experts=[0,1,2]; c1:bw=10,experts=[0]; c4:bw=28,experts=[0,1]; c5:bw=34,experts=[0,1,2]; c7:bw=38,experts=[0,1,2]; c3:bw=22,experts=[0,1]; c9:bw=30,experts=[0,1,2]; c0:bw=10,experts=[0]","0.2767,1.7290,6.3559,17.5603,2.7383,5.5197,3.3300,0.5602,4.5728,6.0080"
42,2026-09-18 07:44:39,Ours,0.01,0.7665936595907727,73.89,76.1,41,50.0689,0:50.07,48.8359,0.1241,1.1077,2103.4879,35:03.49,10,"5,1,3,9,6,0,7,4,8,2",5:28;1:27;3:27;9:28;6:19;0:10;7:11;4:30;8:23;2:22,"5:[0,1];1:[0,1];3:[0,1];9:[0,1];6:[0];0:[0];7:[0];4:[0,1,2];8:[0,1];2:[0,1]","c5:bw=28,experts=[0,1]; c1:bw=27,experts=[0,1]; c3:bw=27,experts=[0,1]; c9:bw=28,experts=[0,1]; c6:bw=19,experts=[0]; c0:bw=10,experts=[0]; c7:bw=11,experts=[0]; c4:bw=30,experts=[0,1,2]; c8:bw=23,experts=[0,1]; c2:bw=22,experts=[0,1]","5.5784,17.8232,0.5627,4.5839,1.7188,5.9288,3.3116,2.7577,6.3012,0.2697"
43,2026-09-18 07:45:29,Ours,0.01,0.7861046264640992,76.8,76.8,43,49.6918,0:49.69,48.4646,0.1284,1.0975,2153.2008,35:53.20,10,"5,1,2,8,9,7,4,6,3,0",5:29;1:32;2:28;8:25;9:18;7:12;4:19;6:10;3:36;0:12,"5:[0,1];1:[0,1,2];2:[0,1];8:[0,1];9:[0];7:[0];4:[0];6:[0];3:[0,1,2];0:[0]","c5:bw=29,experts=[0,1]; c1:bw=32,experts=[0,1,2]; c2:bw=28,experts=[0,1]; c8:bw=25,experts=[0,1]; c9:bw=18,experts=[0]; c7:bw=12,experts=[0]; c4:bw=19,experts=[0]; c6:bw=10,experts=[0]; c3:bw=36,experts=[0,1,2]; c0:bw=12,experts=[0]","5.5506,17.6576,0.2725,6.3214,4.5300,3.2918,2.6951,1.7067,0.5569,5.8820"
44,2026-09-18 07:46:19,Ours,0.01,0.771196649626914,74.52,76.8,43,49.7266,0:49.73,48.5027,0.1237,1.0989,2202.9486,36:42.95,10,"0,3,4,2,7,5,6,9,8,1",0:37;3:26;4:16;2:20;7:40;5:13;6:11;9:21;8:19;1:25,"0:[0,1,2];3:[0,1];4:[0];2:[0,1];7:[0,1,2,3];5:[0];6:[0];9:[0,1];8:[1];1:[0,1]","c0:bw=37,experts=[0,1,2]; c3:bw=26,experts=[0,1]; c4:bw=16,experts=[0]; c2:bw=20,experts=[0,1]; c7:bw=40,experts=[0,1,2,3]; c5:bw=13,experts=[0]; c6:bw=11,experts=[0]; c9:bw=21,experts=[0,1]; c8:bw=19,experts=[1]; c1:bw=25,experts=[0,1]","6.0610,0.5633,2.8047,0.2751,3.3228,5.4899,1.7239,4.5268,6.2559,17.4791"
45,2026-09-18 07:47:08,Ours,0.01,0.7792998470383342,76.01,76.8,43,49.5994,0:49.60,48.3777,0.1286,1.0918,2252.5706,37:32.57,10,"8,0,3,4,7,2,9,6,5,1",8:31;0:20;3:37;4:36;7:20;2:27;9:14;6:10;5:25;1:31,"8:[0,1,2];0:[0,1];3:[0,1,2];4:[0,1,2];7:[0,1];2:[0,1];9:[0];6:[0];5:[0,1];1:[0,1,2]","c8:bw=31,experts=[0,1,2]; c0:bw=20,experts=[0,1]; c3:bw=37,experts=[0,1,2]; c4:bw=36,experts=[0,1,2]; c7:bw=20,experts=[0,1]; c2:bw=27,experts=[0,1]; c9:bw=14,experts=[0]; c6:bw=10,experts=[0]; c5:bw=25,experts=[0,1]; c1:bw=31,experts=[0,1,2]","6.3601,5.8602,0.5574,2.7210,3.3981,0.2718,4.5406,1.7106,5.5069,17.4510"
46,2026-09-18 07:47:58,Ours,0.01,0.7703272334931197,74.37,76.8,43,50.0726,0:50.07,48.8396,0.1241,1.1045,2302.6649,38:22.66,10,"9,3,6,1,4,5,2,8,0,7",9:20;3:15;6:21;1:23;4:35;5:23;2:32;8:22;0:30;7:16,"9:[0,1];3:[1];6:[0,1];1:[0,1];4:[0,1,2];5:[0,1];2:[0,1,2];8:[0,1];0:[0,1,2];7:[1]","c9:bw=20,experts=[0,1]; c3:bw=15,experts=[1]; c6:bw=21,experts=[0,1]; c1:bw=23,experts=[0,1]; c4:bw=35,experts=[0,1,2]; c5:bw=23,experts=[0,1]; c2:bw=32,experts=[0,1,2]; c8:bw=22,experts=[0,1]; c0:bw=30,experts=[0,1,2]; c7:bw=16,experts=[1]","4.6449,0.5627,1.7361,17.6255,2.8103,5.5189,0.2747,6.2997,6.0336,3.3332"
47,2026-09-18 07:48:48,Ours,0.01,0.7815880019440763,77.64,77.64,47,49.5816,0:49.58,48.3258,0.1301,1.1244,2352.2685,39:12.27,10,"5,6,7,9,8,3,4,0,1,2",5:29;6:12;7:29;9:10;8:22;3:39;4:10;0:25;1:17;2:30,"5:[0,1];6:[0];7:[0,1];9:[0];8:[0,1];3:[0,1,2];4:[0];0:[0,1];1:[0];2:[0,1,2]","c5:bw=29,experts=[0,1]; c6:bw=12,experts=[0]; c7:bw=29,experts=[0,1]; c9:bw=10,experts=[0]; c8:bw=22,experts=[0,1]; c3:bw=39,experts=[0,1,2]; c4:bw=10,experts=[0]; c0:bw=25,experts=[0,1]; c1:bw=17,experts=[0]; c2:bw=30,experts=[0,1,2]","5.5511,1.7259,3.3384,4.5695,6.3149,0.5610,2.7139,5.8552,17.4171,0.2789"
48,2026-09-18 07:49:38,Ours,0.01,0.7473677304017726,73.8,77.64,47,50.1825,0:50.18,48.9321,0.126,1.1232,2402.4737,40:02.47,10,"1,8,4,2,9,6,5,7,0,3",1:28;8:28;4:37;2:31;9:29;6:25;5:31;7:35;0:10;3:10,"1:[0,1];8:[0,1];4:[0,1,2];2:[0,1,2];9:[0,1];6:[0,1];5:[0,1,2];7:[0,1,2];0:[0];3:[1]","c1:bw=28,experts=[0,1]; c8:bw=28,experts=[0,1]; c4:bw=37,experts=[0,1,2]; c2:bw=31,experts=[0,1,2]; c9:bw=29,experts=[0,1]; c6:bw=25,experts=[0,1]; c5:bw=31,experts=[0,1,2]; c7:bw=35,experts=[0,1,2]; c0:bw=10,experts=[0]; c3:bw=10,experts=[1]","17.7850,6.4388,2.7752,0.2715,4.5744,1.7111,5.5113,3.3189,5.9853,0.5606"
49,2026-09-18 07:50:28,Ours,0.01,0.7843087335821348,76.48,77.64,47,49.6849,0:49.68,48.449,0.1319,1.1027,2452.1809,40:52.18,10,"4,3,8,0,2,5,6,7,9,1",4:27;3:18;8:15;0:11;2:32;5:31;6:10;7:24;9:29;1:30,"4:[0,1];3:[0];8:[0];0:[0];2:[0,1,2];5:[0,1,2];6:[0];7:[0,1];9:[0,1];1:[0,1,2]","c4:bw=27,experts=[0,1]; c3:bw=18,experts=[0]; c8:bw=15,experts=[0]; c0:bw=11,experts=[0]; c2:bw=32,experts=[0,1,2]; c5:bw=31,experts=[0,1,2]; c6:bw=10,experts=[0]; c7:bw=24,experts=[0,1]; c9:bw=29,experts=[0,1]; c1:bw=30,experts=[0,1,2]","2.7399,0.5668,6.3225,5.8690,0.2698,5.5354,1.7156,3.3323,4.5520,17.5457"
50,2026-09-18 07:51:18,Ours,0.01,0.7504022636808175,73.05,77.64,47,50.1246,0:50.12,48.8982,0.1265,1.0986,2502.3287,41:42.33,10,"8,4,7,6,2,1,3,0,9,5",8:18;4:10;7:19;6:38;2:35;1:36;3:22;0:16;9:15;5:17,"8:[1];4:[0];7:[1];6:[0,1,2];2:[0,1,2];1:[0,1,2];3:[0,1];0:[0];9:[0];5:[0]","c8:bw=18,experts=[1]; c4:bw=10,experts=[0]; c7:bw=19,experts=[1]; c6:bw=38,experts=[0,1,2]; c2:bw=35,experts=[0,1,2]; c1:bw=36,experts=[0,1,2]; c3:bw=22,experts=[0,1]; c0:bw=16,experts=[0]; c9:bw=15,experts=[0]; c5:bw=17,experts=[0]","6.4520,2.8059,3.3332,1.7197,0.2762,17.5965,0.5538,5.9991,4.6638,5.4980"
51,2026-09-18 07:52:08,Ours,0.01,0.7914993166381459,78.49,78.49,51,49.7317,0:49.73,48.4977,0.1241,1.1087,2552.0837,42:32.08,10,"5,0,1,2,8,6,9,3,4,7",5:26;0:30;1:12;2:11;8:26;6:29;9:10;3:31;4:10;7:15,"5:[0,1];0:[0,1,2];1:[0];2:[0];8:[0,1];6:[0,1];9:[0];3:[0,1,2];4:[0];7:[0]","c5:bw=26,experts=[0,1]; c0:bw=30,experts=[0,1,2]; c1:bw=12,experts=[0]; c2:bw=11,experts=[0]; c8:bw=26,experts=[0,1]; c6:bw=29,experts=[0,1]; c9:bw=10,experts=[0]; c3:bw=31,experts=[0,1,2]; c4:bw=10,experts=[0]; c7:bw=15,experts=[0]","5.5754,5.8770,17.5957,0.2817,6.3124,1.7228,4.5572,0.5579,2.7057,3.3118"
52,2026-09-18 07:52:58,Ours,0.01,0.7426877123354715,75.3,78.49,51,50.1337,0:50.13,48.9025,0.1265,1.1034,2602.2413,43:22.24,10,"0,8,5,7,1,4,9,6,2,3",0:26;8:10;5:13;7:19;1:22;4:18;9:17;6:28;2:16;3:24,"0:[0,1];8:[1];5:[0];7:[1];1:[0,1];4:[0];9:[0];6:[0,1];2:[1];3:[0,1]","c0:bw=26,experts=[0,1]; c8:bw=10,experts=[1]; c5:bw=13,experts=[0]; c7:bw=19,experts=[1]; c1:bw=22,experts=[0,1]; c4:bw=18,experts=[0]; c9:bw=17,experts=[0]; c6:bw=28,experts=[0,1]; c2:bw=16,experts=[1]; c3:bw=24,experts=[0,1]","6.0641,6.4475,5.5171,3.3286,17.5910,2.7944,4.5973,1.7222,0.2709,0.5693"
53,2026-09-18 07:53:48,Ours,0.01,0.7717230580205946,77.37,78.49,51,49.7721,0:49.77,48.5445,0.1234,1.1003,2652.0372,44:12.04,10,"8,4,5,1,3,9,6,7,0,2",8:12;4:16;5:24;1:33;3:26;9:34;6:20;7:24;0:21;2:29,"8:[0];4:[0];5:[0,1];1:[0,1,2];3:[0,1];9:[0,1,2];6:[0,1];7:[0,1];0:[0,1];2:[0,1]","c8:bw=12,experts=[0]; c4:bw=16,experts=[0]; c5:bw=24,experts=[0,1]; c1:bw=33,experts=[0,1,2]; c3:bw=26,experts=[0,1]; c9:bw=34,experts=[0,1,2]; c6:bw=20,experts=[0,1]; c7:bw=24,experts=[0,1]; c0:bw=21,experts=[0,1]; c2:bw=29,experts=[0,1]","6.3592,2.7517,5.5529,17.5466,0.5625,4.5633,1.7149,3.3245,5.8043,0.3645"
54,2026-09-18 07:54:38,Ours,0.01,0.743131319510886,77.37,78.49,51,50.2051,0:50.21,48.9606,0.1276,1.113,2702.2658,45:02.27,10,"2,1,8,7,3,0,6,5,9,4",2:10;1:29;8:31;7:34;3:17;0:20;6:30;5:10;9:28;4:18,"2:[1];1:[0,1];8:[0,1,2];7:[0,1,2];3:[1];0:[0,1];6:[0,1,2];5:[0];9:[0,1];4:[0]","c2:bw=10,experts=[1]; c1:bw=29,experts=[0,1]; c8:bw=31,experts=[0,1,2]; c7:bw=34,experts=[0,1,2]; c3:bw=17,experts=[1]; c0:bw=20,experts=[0,1]; c6:bw=30,experts=[0,1,2]; c5:bw=10,experts=[0]; c9:bw=28,experts=[0,1]; c4:bw=18,experts=[0]","0.2798,17.6584,6.4616,3.3294,0.5553,5.9801,1.7143,5.5716,4.6445,2.7657"
55,2026-09-18 07:55:28,Ours,0.01,0.7524379377459753,77.37,78.49,51,49.7346,0:49.73,48.4963,0.1299,1.1072,2752.0248,45:52.02,10,"7,2,4,3,8,5,1,6,0,9",7:30;2:23;4:10;3:29;8:10;5:29;1:33;6:23;0:15;9:34,"7:[0,1,2];2:[0,1];4:[0];3:[0,1];8:[0];5:[0,1];1:[0,1,2];6:[0,1];0:[0];9:[0,1,2]","c7:bw=30,experts=[0,1,2]; c2:bw=23,experts=[0,1]; c4:bw=10,experts=[0]; c3:bw=29,experts=[0,1]; c8:bw=10,experts=[0]; c5:bw=29,experts=[0,1]; c1:bw=33,experts=[0,1,2]; c6:bw=23,experts=[0,1]; c0:bw=15,experts=[0]; c9:bw=34,experts=[0,1,2]","3.3381,0.2791,2.7329,0.5640,6.3267,5.5344,17.6443,1.7225,5.8188,4.5355"
56,2026-09-18 07:56:18,Ours,0.01,0.7466097098632971,78.17,78.49,51,49.8864,0:49.89,48.6597,0.1259,1.0995,2801.9359,46:41.94,10,"9,1,3,2,5,4,8,7,6,0",9:29;1:31;3:10;2:29;5:17;4:10;8:10;7:10;6:13;0:39,"9:[0,1];1:[0,1,2];3:[1];2:[0,1];5:[0];4:[0];8:[1];7:[0];6:[0];0:[0,1,2]","c9:bw=29,experts=[0,1]; c1:bw=31,experts=[0,1,2]; c3:bw=10,experts=[1]; c2:bw=29,experts=[0,1]; c5:bw=17,experts=[0]; c4:bw=10,experts=[0]; c8:bw=10,experts=[1]; c7:bw=10,experts=[0]; c6:bw=13,experts=[0]; c0:bw=39,experts=[0,1,2]","4.6298,17.7091,0.5569,0.2767,5.5000,2.7458,6.4149,3.3151,1.7069,5.8045"
57,2026-09-18 07:57:07,Ours,0.01,0.7517784940747936,77.8,78.49,51,49.7523,0:49.75,48.5062,0.1264,1.1185,2851.7128,47:31.71,10,"3,8,6,1,7,0,5,4,2,9",3:35;8:24;6:27;1:27;7:38;0:39;5:24;4:23;2:18;9:11,"3:[0,1,2];8:[0,1];6:[0,1];1:[0,1];7:[0,1,2];0:[0,1,2];5:[0,1];4:[0,1];2:[1];9:[0]","c3:bw=35,experts=[0,1,2]; c8:bw=24,experts=[0,1]; c6:bw=27,experts=[0,1]; c1:bw=27,experts=[0,1]; c7:bw=38,experts=[0,1,2]; c0:bw=39,experts=[0,1,2]; c5:bw=24,experts=[0,1]; c4:bw=23,experts=[0,1]; c2:bw=18,experts=[1]; c9:bw=11,experts=[0]","0.5636,6.4122,1.7339,17.5496,3.3460,5.8425,5.4929,2.7423,0.2695,4.5537"
58,2026-09-18 07:57:57,Ours,0.01,0.7454648909528294,79.41,79.41,58,49.9227,0:49.92,48.663,0.1261,1.1324,2901.6607,48:21.66,10,"7,2,9,6,5,1,8,4,3,0",7:13;2:10;9:32;6:30;5:19;1:17;8:22;4:21;3:34;0:26,"7:[0];2:[1];9:[0,1,2];6:[0,1,2];5:[0];1:[0];8:[0,1];4:[0,1];3:[0,1,2];0:[0,1]","c7:bw=13,experts=[0]; c2:bw=10,experts=[1]; c9:bw=32,experts=[0,1,2]; c6:bw=30,experts=[0,1,2]; c5:bw=19,experts=[0]; c1:bw=17,experts=[0]; c8:bw=22,experts=[0,1]; c4:bw=21,experts=[0,1]; c3:bw=34,experts=[0,1,2]; c0:bw=26,experts=[0,1]","3.3590,0.2737,4.6192,1.7252,5.4890,17.5873,6.4343,2.7930,0.5564,5.8260"
59,2026-09-18 07:58:55,Ours,0.01,0.74376852879084,78.45,79.41,58,57.9251,0:57.93,56.472,0.127,1.322,2959.612,49:19.61,10,"2,8,9,6,1,4,7,5,0,3",2:20;8:31;9:15;6:11;1:36;4:14;7:15;5:18;0:29;3:20,"2:[0,1];8:[0,1,2];9:[0];6:[0];1:[0,1,2];4:[0];7:[0];5:[0];0:[0,1];3:[0,1]","c2:bw=20,experts=[0,1]; c8:bw=31,experts=[0,1,2]; c9:bw=15,experts=[0]; c6:bw=11,experts=[0]; c1:bw=36,experts=[0,1,2]; c4:bw=14,experts=[0]; c7:bw=15,experts=[0]; c5:bw=18,experts=[0]; c0:bw=29,experts=[0,1]; c3:bw=20,experts=[0,1]","0.2966,6.7900,4.9249,2.0720,21.0107,3.3041,3.9148,6.5577,6.9032,0.6980"
