Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
19,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
20,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
20,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
20,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
20,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
21,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
21,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
21,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
21,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
22,4,2,105,6664,12,1,1.0,1.0,1.0,1.0,1.0,1.0
22,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,5,2,96,6137,14,1,1.0,1.0,1.0,1.0,1.0,1.0
23,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,9,2,54,3421,15,1,1.0,1.0,1.0,1.0,1.0,1.0
23,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
24,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
24,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
25,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
25,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
26,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
26,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
26,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
27,7,2,71,4512,11,1,1.0,1.0,1.0,1.0,1.0,1.0
27,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,0,2,72,4573,16,1,1.0,1.0,1.0,1.0,1.0,1.0
27,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,5,2,96,6137,10,1,1.0,1.0,1.0,1.0,1.0,1.0
28,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,9,2,54,3421,6,1,1.0,1.0,1.0,1.0,1.0,1.0
28,0,2,72,4573,9,1,1.0,1.0,1.0,1.0,1.0,1.0
28,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
29,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
29,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
29,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
29,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,1,2,66,4218,2,1,1.0,1.0,1.0,1.0,1.0,1.0
30,4,2,105,6664,2,1,1.0,1.0,1.0,1.0,1.0,1.0
30,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,8,2,82,5219,2,1,1.0,1.0,1.0,1.0,1.0,1.0
30,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
31,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
31,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
32,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
32,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
32,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
32,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
32,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
33,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
33,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
33,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
33,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
33,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
