Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
83,65.3,1.3898561972411243,53.5676,0.1305,1.176,54.8754,"3.7274,7.0723,3.9663,4.8351,6.5146,4.8803,7.0864,4.5555,5.5483,5.3814"
84,64.87,1.3840984713936089,53.4685,0.1323,1.1599,54.762,"5.6382,5.3713,4.5617,6.9855,3.6838,3.9208,4.8350,6.5246,7.0689,4.8787"
85,65.22,1.3771934694263297,53.804,0.1321,1.1783,55.1157,"4.9518,3.9575,5.6422,7.0195,4.5364,7.1139,3.7232,5.3986,6.5380,4.9227"
86,65.18,1.375142865802785,53.676,0.132,1.1535,54.9657,"6.6262,5.5724,3.9571,7.0756,4.9041,7.0615,4.8570,5.3591,4.5668,3.6961"
87,65.46,1.376788078364223,53.6066,0.1325,1.1568,54.8972,"4.5223,3.9885,4.8409,6.5271,7.0737,5.4184,7.0857,3.7080,5.5530,4.8889"
88,65.84,1.3669372794823225,53.6307,0.1314,1.1766,54.94,"5.5826,7.0489,5.3865,4.8435,4.9439,7.0866,3.6887,4.5212,6.5613,3.9676"
89,65.61,1.3711883984326905,53.6969,0.1319,1.1735,55.0066,"5.3877,5.6556,3.9869,3.7381,4.8151,6.5635,4.8804,7.0148,7.1153,4.5395"
90,65.9,1.358147968944467,53.6745,0.1351,1.1557,54.9667,"4.8951,4.5397,5.3714,3.7247,4.9520,7.0074,3.9393,6.5360,5.5970,7.1119"
91,65.87,1.350983123346354,53.764,0.1305,1.1785,55.0744,"4.5685,3.7228,6.6173,4.8730,5.4000,7.1526,4.9182,7.0225,3.9279,5.5611"
92,66.04,1.349299737595993,54.0435,0.1315,1.1507,55.33,"5.4224,4.8687,4.5389,4.9275,5.9180,7.0589,3.7185,3.9426,6.5844,7.0636"
93,65.93,1.3451982098024031,53.6293,0.1339,1.1549,54.9193,"4.6745,5.4148,4.8453,3.7212,7.0002,5.5309,6.5101,7.1131,4.8570,3.9622"
94,66.15,1.341500663414908,53.8223,0.1315,1.1839,55.139,"4.8833,3.9809,6.5869,7.1244,7.0339,3.7254,4.5984,5.5441,4.9558,5.3892"
95,65.81,1.348591488722414,53.7491,0.2233,1.1812,55.155,"4.9141,3.7235,7.1221,7.0741,4.9228,5.3869,4.5266,5.6049,3.9452,6.5289"
96,66.73,1.333289006150682,53.7292,0.1344,1.1762,55.0412,"4.0153,3.7293,5.4014,4.5447,6.5816,7.0900,7.0163,4.8577,4.9115,5.5814"
97,66.83,1.3300443596045608,53.7147,0.1347,1.1778,55.0285,"4.9617,3.7280,5.6007,7.0668,4.8608,4.5506,5.3590,6.5673,7.0523,3.9674"
98,66.36,1.3220469072998169,53.6915,0.1293,1.1817,55.0067,"7.1766,5.6203,3.7217,4.8324,7.0253,6.5823,4.8995,5.3609,4.5176,3.9550"
99,66.79,1.3151538464765269,53.6044,0.1314,1.1468,54.8839,"5.5864,6.6133,4.8785,4.5525,5.3699,3.6758,7.0701,4.8915,3.9474,7.0189"
100,66.76,1.3214330454355228,53.6065,0.1346,1.1501,54.8925,"4.0013,5.6029,3.7208,6.4910,7.0296,4.5026,7.1496,4.8039,5.3681,4.9367"
