Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
88,57.76,1.4975184435528894,47.8523,0.1435,1.1242,49.1213,"4.9982,6.2958,4.8405,4.3218,4.4069,6.3516,3.2734,4.0157,5.8506,3.4978"
89,60.39,1.4835855377421077,47.848,0.1381,1.139,49.1264,"4.8353,5.0286,3.5419,3.2989,4.3233,5.8645,4.3424,6.2588,6.3470,4.0072"
90,62.63,1.4659818085945209,49.2509,0.1568,1.2863,50.6953,"4.3616,4.0556,4.7984,3.3015,4.4024,6.2680,3.4700,6.0187,5.4230,7.1517"
91,58.58,1.4738037544773557,48.7124,0.1367,1.1358,49.9862,"4.4491,3.5127,6.2417,4.3951,4.8000,6.3395,4.3550,6.2170,3.4645,4.9379"
92,61.63,1.4658452111535982,47.9542,0.1448,1.1382,49.2385,"4.8322,4.3548,4.0443,4.3828,4.9991,6.2703,3.2786,3.6735,5.8003,6.3183"
93,58.49,1.4681476290982718,47.9898,0.1383,1.1261,49.2599,"4.1249,4.8344,4.3290,3.3245,6.2259,4.9527,5.8097,6.3165,4.3493,3.7229"
94,62.37,1.4442471312005465,48.4026,0.1458,1.1362,49.6859,"4.3239,3.5433,6.4507,6.4410,6.2441,3.2832,4.0151,4.9113,4.3944,4.7956"
95,61.52,1.4216509187488964,49.064,0.1418,1.1143,50.3214,"4.3278,3.3101,6.3698,6.7505,4.8051,4.7752,4.0527,4.9612,3.4808,6.2310"
96,62.08,1.432369575925927,47.7558,0.142,1.1191,49.0228,"3.5737,3.3056,4.7941,4.0197,5.8559,6.3601,6.2195,4.2906,4.3531,4.9835"
97,63.68,1.4209264360635052,47.7887,0.1416,1.1095,49.0411,"4.3886,3.2921,4.9990,6.3482,4.2943,4.0251,4.7514,5.9445,6.2299,3.5157"
98,61.04,1.4289453763754254,47.7682,0.1395,1.1293,49.0382,"6.4198,5.0372,3.2964,4.3440,6.2461,5.8247,4.3363,4.7750,4.0050,3.4837"
99,62.92,1.4170702559144728,48.2662,0.1416,1.1084,49.5175,"4.9987,6.4520,4.3382,4.0394,4.7782,3.2569,6.3032,4.3631,3.5106,6.2258"
100,62.8,1.4089966168993608,49.6646,0.1467,1.1778,50.9953,"3.5245,5.0839,3.2899,6.3810,6.7671,4.1139,6.3378,4.5777,5.0094,4.5794"
